,CHCE,CHCH,CHH (EJP),CHPE,CHPH,CODE POSTAL,CP,CP (EJP),Département,Electricité 100% verte (oui/non),HCE,HCH,HH (EJP),HPE,HPH,Ministère (Client),P,P (EJP),Région,TOTAL,Unnamed: 0,Unnamed: 0.1
135,4325.0,3670.0,,17585.0,13959.0,10000.0,0.0,,AUBE,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,,,CHAMPAGNE-ARDENNE,39539,674,
136,4483.0,7504.0,,9979.0,15862.0,10600.0,0.0,,AUBE,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,,,CHAMPAGNE-ARDENNE,37828,675,
137,62159.0,49394.0,,227578.0,164903.0,54000.0,30664.0,,MEURTHE-ET-MOSELLE,OUI,220.0,220.0,,220.0,220.0,Ministères économiques et financiers,220.0,,LORRAINE,534698,681,
138,15491.0,11823.0,,58917.0,39576.0,54042.0,5548.0,,,OUI,72.0,72.0,,72.0,72.0,Ministères économiques et financiers,72.0,,LORRAINE,131355,682,
139,10497.0,7338.0,,43528.0,30885.0,54200.0,1430.0,,MEURTHE-ET-MOSELLE,OUI,54.0,54.0,,54.0,54.0,Ministères économiques et financiers,54.0,,LORRAINE,93678,683,
140,10257.0,27289.0,,27109.0,49916.0,54000.0,7911.0,,MEURTHE-ET-MOSELLE,OUI,102.0,102.0,,102.0,102.0,Ministères économiques et financiers,102.0,,LORRAINE,122482,703,
141,15352.0,11503.0,,48351.0,41566.0,54300.0,0.0,,MEURTHE-ET-MOSELLE,OUI,48.0,48.0,,48.0,48.0,Ministères économiques et financiers,48.0,,LORRAINE,116772,704,
142,7203.0,11567.0,,23111.0,35881.0,54000.0,0.0,,MEURTHE-ET-MOSELLE,OUI,78.0,78.0,,78.0,78.0,Ministères économiques et financiers,78.0,,LORRAINE,77762,722,
143,5338.0,5980.0,,20147.0,20913.0,52000.0,0.0,,HAUTE-MARNE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,42.0,,CHAMPAGNE-ARDENNE,52378,723,
144,14347.0,12378.0,,48824.0,43157.0,55100.0,0.0,,MEUSE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,42.0,,LORRAINE,118706,738,
145,16539.0,13642.0,,46248.0,35675.0,55000.0,6870.0,,MEUSE,OUI,42.0,42.0,,42.0,42.0,Ministères économiques et financiers,42.0,,LORRAINE,118974,764,
146,22584.0,19322.0,,87802.0,80799.0,52000.0,0.0,,HAUTE-MARNE,OUI,90.0,90.0,,90.0,90.0,Ministères économiques et financiers,,,CHAMPAGNE-ARDENNE,210507,794,
147,8117.000000000001,8179.0,,33424.0,30986.0,55000.0,0.0,,MEUSE,OUI,72.0,72.0,,72.0,72.0,Ministères économiques et financiers,,,LORRAINE,80706,809,
